speech_id,date,claim_id,claim,canonical_claim,land_relevance,delegitimization,environmental_repertoire,macro,meso,micro,considered
9426D39792,2008-12-10,9426D39792_12,"11% do território nacional ser terra indígena, uma área maior do que a Região Sudeste, é uma vergonha.",A demarcação de terras indígenas é excessiva.,Sim,Sim,Sim,"1. A proteção de territórios é excessiva e produz ineficiência, desordem e prejuízo ao Estado",1.1. A política excessiva de proteção e delimitação territorial compromete o funcionamento do Estado,,Sim
3938D38058,2004-03-12,3938D38058_5,"A demarcação de terras indígenas na Amazônia, como a dos índios gorotirés e araras, tem apresentado aumentos expressivos e desproporcionais.",A demarcação de terras indígenas tem apresentado aumentos expressivos e desproporcionais.,Sim,,Sim,"1. A proteção de territórios é excessiva e produz ineficiência, desordem e prejuízo ao Estado",1.1. A política excessiva de proteção e delimitação territorial compromete o funcionamento do Estado,,Sim
26496D45601,2024-11-05,26496D45601_8,Incluir a demarcação de terras indígenas no Plano Clima é uma afronta.,A inclusão de demarcação de terras indígenas em planos climáticos é uma afronta.,Sim,Sim,Sim,"1. A proteção de territórios é excessiva e produz ineficiência, desordem e prejuízo ao Estado",1.1. A política excessiva de proteção e delimitação territorial compromete o funcionamento do Estado,,Sim
12564D40757,2011-08-02,12564D40757_3,"A demarcação de terras em Roraima prejudicou o Estado, seja pela questão ambiental, seja pela questão indígena.",A demarcação de terras prejudica o Estado Brasileiro.,Sim,Sim,Sim,"1. A proteção de territórios é excessiva e produz ineficiência, desordem e prejuízo ao Estado",1.1. A política excessiva de proteção e delimitação territorial compromete o funcionamento do Estado,,Sim
3856D38035,2004-02-18,3856D38035_5,As terras indígenas demarcadas no Amapá não prejudicam o Estado.,A demarcação de terras indígenas não prejudica o Estado.,Sim,,Sim,"1. A proteção de territórios é excessiva e produz ineficiência, desordem e prejuízo ao Estado",1.1. A política excessiva de proteção e delimitação territorial compromete o funcionamento do Estado,,Sim
16042D41618,2013-12-10,16042D41618_35,O agronegócio quer acabar com a demarcação de terras indígenas.,O agronegócio busca impedir a demarcação de terras indígenas.,Sim,,Sim,"1. A proteção de territórios é excessiva e produz ineficiência, desordem e prejuízo ao Estado",1.1. A política excessiva de proteção e delimitação territorial compromete o funcionamento do Estado,,Sim
7687D39258,2007-06-25,7687D39258_45,As demarcações das terras dos nossos índios são mais do que justas.,A demarcação de terras indígenas é justa.,Sim,,Sim,"1. A proteção de territórios é excessiva e produz ineficiência, desordem e prejuízo ao Estado",1.1. A política excessiva de proteção e delimitação territorial compromete o funcionamento do Estado,,Sim
3777D38016,2004-01-30,3777D38016_4,"A terra indígena Raposa/Serra do Sol, somada às áreas das reservas de São Marcos e Ianomâmi, ocupará uma faixa contínua de 1.910 quilômetros de fronteira com 20 milhões de hectares, o que impede uma fiscalização efetiva da região.",A demarcação de terras indígenas impede a fiscalização efetiva da região.,Sim,,Sim,"1. A proteção de territórios é excessiva e produz ineficiência, desordem e prejuízo ao Estado",1.1. A política excessiva de proteção e delimitação territorial compromete o funcionamento do Estado,,Sim
7817D39296,2007-08-02,7817D39296_42,A demarcação de terras indígenas tem muito a ver com o assunto que V.Exa. aborda.,A demarcação de terras indígenas afeta a questão abordada.,Sim,,Sim,"1. A proteção de territórios é excessiva e produz ineficiência, desordem e prejuízo ao Estado",1.1. A política excessiva de proteção e delimitação territorial compromete o funcionamento do Estado,,Sim
6458D38812,2006-04-05,6458D38812_109,A revitalização do Rio São Francisco é absolutamente prioritária.,A revitalização de um rio é prioritária.,,,Sim,"1. A proteção de territórios é excessiva e produz ineficiência, desordem e prejuízo ao Estado","1.2. O Estado é incapaz de proteger e garantir condições mínimas para pessoas, recursos e territórios protegidos",,Sim
9916D39926,2009-04-23,9916D39926_6,"A União não teve competência para gerir o patrimônio que adquiriu, usurpado dos Estados da Amazônia Legal.",O Estado Brasileiro não teve competência para gerir patrimônio adquirido de entes subnacionais.,Sim,,Sim,"1. A proteção de territórios é excessiva e produz ineficiência, desordem e prejuízo ao Estado","1.2. O Estado é incapaz de proteger e garantir condições mínimas para pessoas, recursos e territórios protegidos",,Sim
26619D45637,2024-12-11,26619D45637_29,"Sob o comando de Lula, a degradação da Amazônia atinge o pior nível em 15 anos.",A degradação ambiental em um território específico atinge o pior nível em um longo período.,Sim,,Sim,"1. A proteção de territórios é excessiva e produz ineficiência, desordem e prejuízo ao Estado","1.2. O Estado é incapaz de proteger e garantir condições mínimas para pessoas, recursos e territórios protegidos",,Sim
16469D41759,2014-04-30,16469D41759_29,"Famílias afetadas pela desintrusão no povoado estão à mercê da natureza, morando debaixo de lona.",O Estado Brasileiro não garante condições dignas de moradia para famílias afetadas por desintrusão.,Sim,,Sim,"1. A proteção de territórios é excessiva e produz ineficiência, desordem e prejuízo ao Estado","1.2. O Estado é incapaz de proteger e garantir condições mínimas para pessoas, recursos e territórios protegidos",,Sim
24362D45028,2023-04-12,24362D45028_10,Um cidadão do campo morrerá no meio da fumaça se pedir socorro aos órgãos ambientais e não tiver apoio.,O Estado Brasileiro não oferece apoio a cidadãos do campo em situações de risco ambiental.,Sim,,Sim,"1. A proteção de territórios é excessiva e produz ineficiência, desordem e prejuízo ao Estado","1.2. O Estado é incapaz de proteger e garantir condições mínimas para pessoas, recursos e territórios protegidos",,Sim
12222D40674,2011-05-11,12222D40674_6,Sabemos coordenar muito bem crescimento com respeito ao meio ambiente.,O Estado Brasileiro coordena crescimento com respeito ao meio ambiente.,Sim,,Sim,2. O ambientalismo estatal é ineficaz e a produção agrícola protege melhor o meio ambiente,2.1. O agronegócio é mais eficiente em preservar o meio ambiente,2.1.2. Razões ideológicas são mais prioritárias para o Estado do que a eficiência na preservação do meio ambiente,Sim
3997D38075,2004-03-29,3997D38075_5,Conflitos promovidos pelo Estado brasileiro se transformam em problema tanto para os assentados quanto para o meio ambiente.,O Estado Brasileiro causa conflitos que prejudicam assentados e o meio ambiente.,Sim,,Sim,2. O ambientalismo estatal é ineficaz e a produção agrícola protege melhor o meio ambiente,2.1. O agronegócio é mais eficiente em preservar o meio ambiente,2.1.2. Razões ideológicas são mais prioritárias para o Estado do que a eficiência na preservação do meio ambiente,Sim
9148D39728,2008-10-07,9148D39728_9,Os maiores depredadores da Amazônia são os assentamentos do INCRA.,Assentamentos do Estado Brasileiro são os maiores depredadores do meio ambiente.,Sim,Sim,Sim,2. O ambientalismo estatal é ineficaz e a produção agrícola protege melhor o meio ambiente,2.1. O agronegócio é mais eficiente em preservar o meio ambiente,2.1.2. Razões ideológicas são mais prioritárias para o Estado do que a eficiência na preservação do meio ambiente,Sim
20979D43621,2019-06-05,20979D43621_23,A destruição do meio ambiente está ocorrendo.,A destruição do meio ambiente está ocorrendo.,Sim,,Sim,2. O ambientalismo estatal é ineficaz e a produção agrícola protege melhor o meio ambiente,2.1. O agronegócio é mais eficiente em preservar o meio ambiente,2.1.2. Razões ideológicas são mais prioritárias para o Estado do que a eficiência na preservação do meio ambiente,Sim
20979D43621,2019-06-05,20979D43621_24,A defesa do meio ambiente está sendo negada.,A defesa do meio ambiente é negada.,Sim,,Sim,2. O ambientalismo estatal é ineficaz e a produção agrícola protege melhor o meio ambiente,2.1. O agronegócio é mais eficiente em preservar o meio ambiente,2.1.2. Razões ideológicas são mais prioritárias para o Estado do que a eficiência na preservação do meio ambiente,Sim
20979D43621,2019-06-05,20979D43621_28,O Brasil não preserva o meio ambiente.,O Estado Brasileiro não preserva o meio ambiente.,,,Sim,2. O ambientalismo estatal é ineficaz e a produção agrícola protege melhor o meio ambiente,2.1. O agronegócio é mais eficiente em preservar o meio ambiente,2.1.2. Razões ideológicas são mais prioritárias para o Estado do que a eficiência na preservação do meio ambiente,Sim
10689D40059,2009-09-03,10689D40059_14,Meio ambiente rural é uma responsabilidade da sociedade brasileira.,A responsabilidade pela proteção do meio ambiente rural é da sociedade brasileira.,Sim,,Sim,2. O ambientalismo estatal é ineficaz e a produção agrícola protege melhor o meio ambiente,2.1. O agronegócio é mais eficiente em preservar o meio ambiente,2.1.1. A competência de preservação do agronegócio é superior a do Estado,Sim
10689D40059,2009-09-03,10689D40059_27,Assim o nosso meio ambiente será protegido.,O Estado Brasileiro protege o meio ambiente.,,,Sim,2. O ambientalismo estatal é ineficaz e a produção agrícola protege melhor o meio ambiente,2.1. O agronegócio é mais eficiente em preservar o meio ambiente,2.1.2. Razões ideológicas são mais prioritárias para o Estado do que a eficiência na preservação do meio ambiente,Sim
15822D41561,2013-10-14,15822D41561_11,"Nada melhor do que o nosso agricultor, que está preservando, colaborando com o meio ambiente e adquiriu sua propriedade de boa-fé.",O agricultor que adquiriu propriedade de boa-fé é um preservador do meio ambiente.,Sim,,Sim,2. O ambientalismo estatal é ineficaz e a produção agrícola protege melhor o meio ambiente,2.1. O agronegócio é mais eficiente em preservar o meio ambiente,2.1.1. A competência de preservação do agronegócio é superior a do Estado,Sim
19610D42880,2017-05-25,19610D42880_24,A agricultura brasileira precisa ser aplaudida por aqueles que entendem que ela não devasta e conserva o meio ambiente.,A agricultura brasileira conserva o meio ambiente.,,,Sim,2. O ambientalismo estatal é ineficaz e a produção agrícola protege melhor o meio ambiente,2.1. O agronegócio é mais eficiente em preservar o meio ambiente,2.1.1. A competência de preservação do agronegócio é superior a do Estado,Sim
19610D42880,2017-05-25,19610D42880_25,A agricultura brasileira preserva o meio ambiente.,A agricultura brasileira protege o meio ambiente.,Sim,,Sim,2. O ambientalismo estatal é ineficaz e a produção agrícola protege melhor o meio ambiente,2.1. O agronegócio é mais eficiente em preservar o meio ambiente,2.1.1. A competência de preservação do agronegócio é superior a do Estado,Sim
24488D45055,2023-05-09,24488D45055_16,A derrubada dos decretos sobre o marco do saneamento básico foi um grande gol ambiental.,A derrubada de decretos sobre saneamento básico é benéfica para o meio ambiente.,,,Sim,2. O ambientalismo estatal é ineficaz e a produção agrícola protege melhor o meio ambiente,2.1. O agronegócio é mais eficiente em preservar o meio ambiente,2.1.2. Razões ideológicas são mais prioritárias para o Estado do que a eficiência na preservação do meio ambiente,Sim
2682D37762,2003-05-21,2682D37762_5,O modelo do agronegócio prejudica o meio ambiente.,O agronegócio prejudica o meio ambiente.,Sim,,Sim,2. O ambientalismo estatal é ineficaz e a produção agrícola protege melhor o meio ambiente,2.1. O agronegócio é mais eficiente em preservar o meio ambiente,2.1.2. Razões ideológicas são mais prioritárias para o Estado do que a eficiência na preservação do meio ambiente,Sim
10642D40045,2009-08-20,10642D40045_10,"Não é possível administrar o meio ambiente brasileiro com uma lei somente, e de 1965.",A administração do meio ambiente requer mais do que uma única lei antiga.,Sim,,Sim,2. O ambientalismo estatal é ineficaz e a produção agrícola protege melhor o meio ambiente,2.1. O agronegócio é mais eficiente em preservar o meio ambiente,2.1.2. Razões ideológicas são mais prioritárias para o Estado do que a eficiência na preservação do meio ambiente,Sim
16575D41781,2014-05-22,16575D41781_9,"No mundo moderno, no mundo esclarecido, no mundo das redes sociais e da informação, não cabe mais a agressão ao meio ambiente.",Agressão ao meio ambiente não é compatível com o mundo moderno.,,,Sim,2. O ambientalismo estatal é ineficaz e a produção agrícola protege melhor o meio ambiente,2.1. O agronegócio é mais eficiente em preservar o meio ambiente,2.1.1. A competência de preservação do agronegócio é superior a do Estado,Sim
16575D41781,2014-05-22,16575D41781_10,Necessitamos da interação do homem com o meio ambiente.,A interação humana com o meio ambiente é necessária.,,,Sim,2. O ambientalismo estatal é ineficaz e a produção agrícola protege melhor o meio ambiente,2.1. O agronegócio é mais eficiente em preservar o meio ambiente,2.1.1. A competência de preservação do agronegócio é superior a do Estado,Sim
11386D40282,2010-04-14,11386D40282_4,Discordar dos exageros na defesa do meio ambiente pode e deve ser feito até com veemência.,A discordância veemente com a defesa do meio ambiente é possível e necessária.,,,Sim,2. O ambientalismo estatal é ineficaz e a produção agrícola protege melhor o meio ambiente,2.1. O agronegócio é mais eficiente em preservar o meio ambiente,2.1.2. Razões ideológicas são mais prioritárias para o Estado do que a eficiência na preservação do meio ambiente,Sim
