macro,meso,micro
"1. A proteção de territórios é excessiva e produz ineficiência, desordem e prejuízo ao Estado",1.1. A política excessiva de proteção e delimitação territorial compromete o funcionamento do Estado,
"1. A proteção de territórios é excessiva e produz ineficiência, desordem e prejuízo ao Estado","1.2. O Estado é incapaz de proteger e garantir condições mínimas para pessoas, recursos e territórios protegidos",
2. O ambientalismo estatal é ineficaz e a produção agrícola protege melhor o meio ambiente,2.1. O agronegócio é mais eficiente em preservar o meio ambiente,2.1.1. A competência de preservação do agronegócio é superior a do Estado
2. O ambientalismo estatal é ineficaz e a produção agrícola protege melhor o meio ambiente,2.1. O agronegócio é mais eficiente em preservar o meio ambiente,2.1.2. Razões ideológicas são mais prioritárias para o Estado do que a eficiência na preservação do meio ambiente
2. O ambientalismo estatal é ineficaz e a produção agrícola protege melhor o meio ambiente,2.2. A política ambiental do Estado não tem base técnica ou ciêntífica,
3. A exploração de recursos naturais em territórios protegidos gera desenvolvimento regional,3.1. O uso dado a territórios por comunidades tradicionais não gera desenvolvimento,
3. A exploração de recursos naturais em territórios protegidos gera desenvolvimento regional,3.2. A restrição ambiental é desnecessária diante da abundância de recursos naturais,
4. A política ambiental deve obedecer aos interesses do desenvolvimento nacional,4.1. As normas ambientais são excessivas e prejudicam o produtor e o desenvolvimento nacional,
4. A política ambiental deve obedecer aos interesses do desenvolvimento nacional,"4.2. O Estado é incapaz de coordenar uma política ambiental estável, coerente e justa com o produtor",4.2.1. A política ambiental do Estado é impraticável
4. A política ambiental deve obedecer aos interesses do desenvolvimento nacional,"4.2. O Estado é incapaz de coordenar uma política ambiental estável, coerente e justa com o produtor",4.2.2. O Estado se contradiz com suas próprias regras ambientais
4. A política ambiental deve obedecer aos interesses do desenvolvimento nacional,4.3. A existência de territórios protegidos é inconciliável com a manutenção e estabilidade da ordem pública,
4. A política ambiental deve obedecer aos interesses do desenvolvimento nacional,4.4. A questão climática é um instrumento de ingerência internacional sobre a soberania do Brasil,
"5. A luta pela terra é uma ameaça ambiental, econômica e institucional para o desenvolvimento do país","5.1. A luta pela terra promove violência, vandalismo e ilegalidade",5.1.1. Os atores que reivindicam terra e clima são violentos e perigosos
"5. A luta pela terra é uma ameaça ambiental, econômica e institucional para o desenvolvimento do país","5.1. A luta pela terra promove violência, vandalismo e ilegalidade","5.1.2. É obrigação do Estado reprimir, punir e combater a luta pela terra "
"5. A luta pela terra é uma ameaça ambiental, econômica e institucional para o desenvolvimento do país","5.1. A luta pela terra promove violência, vandalismo e ilegalidade",5.1.3. Produtores são injustamente considerados violentos ao se defender destes movimentos
"5. A luta pela terra é uma ameaça ambiental, econômica e institucional para o desenvolvimento do país",5.2. Os movimentos pela terra destroem o meio ambiente dos territórios que ocupam,
"5. A luta pela terra é uma ameaça ambiental, econômica e institucional para o desenvolvimento do país",5.3. A pauta da terra constrange o avanço de debates econômicos e tecnológicos sobre o meio ambiente,5.3.1. Reivindicações territoriais afastam investidores e o desenvolvimento nacional
"5. A luta pela terra é uma ameaça ambiental, econômica e institucional para o desenvolvimento do país",5.3. A pauta da terra constrange o avanço de debates econômicos e tecnológicos sobre o meio ambiente,5.3.2. Os movimentos pela terra manipulam a pauta ambiental para prejudicar opositores políticos
"5. A luta pela terra é uma ameaça ambiental, econômica e institucional para o desenvolvimento do país",5.3. A pauta da terra constrange o avanço de debates econômicos e tecnológicos sobre o meio ambiente,5.3.3. Políticas importantes se tornam antipopulares por tocarem em direitos territoriais
"5. A luta pela terra é uma ameaça ambiental, econômica e institucional para o desenvolvimento do país",5.4. A luta pela terra enfraquece a autoridade do Estado sobre o território,5.4.1. O Estado incentiva a proliferação dos movimentos pela terra
"5. A luta pela terra é uma ameaça ambiental, econômica e institucional para o desenvolvimento do país",5.4. A luta pela terra enfraquece a autoridade do Estado sobre o território,5.4.2. Os movimentos pela terra criam regras paralelas ao controle e soberania do Estado
